 ,dive_ctd,sample_name,collection_method,sample_type,sample_identifier,filter,processing,location_name,depth_category,depth,fluid_origin,lat,long,pH,temp,prok,site,year
Axial_BSW1500m_BSW1500m_2015,BSW1500m,Deep seawater,NA,background,NA,PES02_sterivex,HOG,Deep seawater,Background,1520,NA,46.27389,-129.79548,7.8,2,25000,Axial,2015
Axial_AnemonePlume_AnemonePlume_2015,AnemonePlume,Anemone Plume,NA,plume,NA,PES02_sterivex,HOG,Anemone Plume,Plume,1500,NA,45.9335667,-130.013667,NA,NA,NA,Axial,2015
Axial_Anemone_FS891_2013,FS891,Anemone,NA,vent,NA,PES02_sterivex,HOG,Anemone,Vent,1542,NA,45.9332,-130.0137,5.5,28.2,410000,Axial,2013
Axial_Boca_FS905_2013,FS905,Boca,NA,vent,NA,PES02_sterivex,HOG,Boca,Vent,1516.9,NA,45.927692,-129.982482,6.88,6.8,850000,Axial,2013
Axial_Dependable_FS900_2013,FS900,Dependable,NA,vent,NA,PES02_sterivex,HOG,Dependable,Vent,1912.8,NA,45.87992,-129.80294,6.19,50,170000,Axial,2013
Axial_ElGuapo_FS896_2013,FS896,El Guapo,NA,vent,NA,PES02_sterivex,HOG,El Guapo,Vent,1502,NA,45.926575,-129.979479,5.42,25.7,168000,Axial,2013
Axial_Marker113_FS903_2013,FS903,Marker113,NA,vent,NA,PES02_sterivex,HOG,Marker113,Vent,1520.3,NA,45.9227,-129.9882,6.17,24.8,460000,Axial,2013
Axial_Marker113_FS906_2014,FS906,Marker113,NA,vent,NA,PES02_sterivex,HOG,Marker113,Vent,1518,NA,45.9227,-129.9882,5.8,24.3,680000,Axial,2014
Axial_Marker113_FS915_2015,FS915,Marker113,NA,vent,NA,PES02_sterivex,HOG,Marker113,Vent,1520,NA,45.9227,-129.9882,6.6,25.4,1500000,Axial,2015
Axial_Marker33_FS904_2013,FS904,Marker33,NA,vent,NA,PES02_sterivex,HOG,Marker33,Vent,1516,NA,45.9332,-129.9822,5.5,27.3,420000,Axial,2013
Axial_Marker33_FS908_2014,FS908,Marker33,NA,vent,NA,PES02_sterivex,HOG,Marker33,Vent,1514,NA,45.9332,-129.9822,5.6,18.5,390000,Axial,2014
Axial_N3Area_FS898_2013,FS898,N3Area,NA,vent,NA,PES02_sterivex,HOG,N3Area,Vent,1523,NA,45.943716,-129.985163,4.96,18.9,257000,Axial,2013
Axial_Skadi_FS902_2013,FS902,Skadi,NA,vent,NA,PES02_sterivex,HOG,Skadi,Vent,1561.6,NA,45.923383,-129.982853,6.23,35.6,565000,Axial,2013
Axial_Skadi_FS910_2014,FS910,Escargot,NA,vent,NA,PES02_sterivex,HOG,Escargot,Vent,1517,NA,45.9264,NA,5.84,6.6,NA,Axial,2014
51_AGAGAA_S13,NA,labblank,blank,control,blank,PES02_sterivex,NA,labblank,Control,NA,blank,NA,NA,NA,NA,NA,control,2020
64_CTRL_control_blank_shipboard_0_0_Jun2021,NA,shipboard,blank,control,blank,PES02_sterivex,NA,shipboard,Control,NA,blank,NA,NA,NA,NA,NA,control,2020
75_CACCCT_S15,NA,shipboard,Control,control,Control,PES02_sterivex,NA,shipboard,Control,NA,Control,NA,NA,NA,NA,NA,control,2020
GordaRidge_BSW020_sterivex_2019_REPa,BSW020,Deep seawater,NA,background,NA,PES02_sterivex,SUPR,Deep seawater,Background,2010,NA,42.7495125,-126.710294,7.8,1.8,39100,GordaRidge,2019
GordaRidge_BSW056_sterivex_2019_REPb,BSW056,Deep seawater,NA,background,NA,PES02_sterivex,SUPR,Deep seawater,Background,2010,NA,42.76060928,-126.7047891,7.8,1.8,39100,GordaRidge,2019
GordaRidge_BSW081_sterivex_2019,BSW081,Shallow seawater,NA,background,NA,PES02_sterivex,SUPR,Shallow seawater,Background,150,NA,42.7546,-126.743,NA,8.6,NA,GordaRidge,2019
GordaRidge_Plume001_sterivex_2019_REPa,Plume001,Near vent BW,NA,background,NA,PES02_sterivex,SUPR,Near vent BW,Background,2745,NA,42.75500527,-126.709891,7.8,1.7,51959.11,GordaRidge,2019
GordaRidge_Plume001_sterivex_2019_REPb,Plume001,Near vent BW,NA,background,NA,PES02_sterivex,SUPR,Near vent BW,Background,2745,NA,42.75500527,-126.709891,7.8,1.7,51959.11,GordaRidge,2019
GordaRidge_Plume001_T0_2019_REP12,Plume001_T0,Near vent BW,NA,incubation,NA,PES02_sterivex,SUPR,Near vent BW,Incubation,2745,NA,42.75500527,-126.709891,NA,NA,NA,GordaRidge,2019
GordaRidge_Plume001_T0_2019_REP34,Plume001_T0,Near vent BW,NA,incubation,NA,PES02_sterivex,SUPR,Near vent BW,Incubation,2745,NA,42.75500527,-126.709891,NA,NA,NA,GordaRidge,2019
GordaRidge_Plume001_T24_2019_REP12,Plume001_T24,Near vent BW,NA,incubation,NA,PES02_sterivex,SUPR,Near vent BW,Incubation,2745,NA,42.75500527,-126.709891,NA,NA,NA,GordaRidge,2019
